,auto_classifier_acc,compression_level,encoding_dim/features,features,selected_classifier_acc,neural_net_acc
0,0.9157509157509157,0.0,24,"[12, 10, 8, 6, 1, 20, 4, 3, 5, 22, 21, 7, 9, 15, 2, 11, 0, 16, 23, 13, 19, 18, 14, 17]",0.9322344322344323,0.949938949939
1,0.9432234432234432,0.04166666666666663,23,"[12, 8, 20, 7, 11, 6, 10, 15, 4, 21, 22, 1, 5, 3, 9, 2, 0, 23, 13, 17, 18, 16, 14]",0.924908424908425,0.949938949939
2,0.924908424908425,0.08333333333333337,22,"[8, 12, 6, 20, 1, 21, 7, 2, 4, 5, 3, 10, 9, 22, 13, 0, 11, 15, 23, 16, 14, 17]",0.9194139194139194,0.949938949939
3,0.9047619047619048,0.125,21,"[20, 8, 12, 2, 6, 3, 5, 1, 10, 13, 21, 4, 7, 0, 23, 22, 9, 15, 19, 11, 16]",0.8534798534798534,0.949938949939
4,0.9212454212454212,0.16666666666666663,20,"[12, 8, 4, 6, 10, 5, 3, 21, 9, 2, 7, 1, 22, 20, 0, 23, 13, 15, 11, 14]",0.8882783882783882,0.949938949939
5,0.9212454212454212,0.20833333333333337,19,"[12, 8, 4, 6, 2, 5, 7, 21, 1, 3, 20, 9, 22, 10, 0, 15, 13, 11, 23]",0.836996336996337,0.949938949939
6,0.9139194139194139,0.25,18,"[8, 12, 6, 1, 2, 5, 7, 4, 3, 10, 9, 21, 0, 20, 15, 22, 11, 23]",0.8040293040293041,0.949938949939
7,0.9029304029304029,0.29166666666666663,17,"[8, 12, 4, 6, 3, 2, 20, 5, 1, 11, 21, 15, 7, 10, 9, 22, 0]",0.7967032967032966,0.949938949939
8,0.9377289377289377,0.33333333333333337,16,"[8, 12, 1, 6, 2, 4, 3, 7, 9, 10, 20, 22, 5, 15, 21, 11]",0.8021978021978022,0.949938949939
9,0.9175824175824175,0.375,15,"[4, 22, 8, 6, 1, 3, 10, 0, 2, 20, 5, 9, 12, 7, 11]",0.8040293040293041,0.949938949939
10,0.9322344322344323,0.41666666666666663,14,"[8, 12, 6, 4, 9, 10, 3, 20, 1, 5, 2, 7, 21, 15]",0.8113553113553114,0.949938949939
11,0.9194139194139194,0.45833333333333337,13,"[4, 0, 8, 6, 22, 3, 2, 5, 12, 23, 9, 1, 10]",0.8058608058608059,0.949938949939
12,0.9322344322344323,0.5,12,"[12, 8, 6, 5, 2, 3, 4, 7, 1, 20, 13, 10]",0.8186813186813187,0.949938949939
13,0.9157509157509157,0.5416666666666667,11,"[2, 11, 12, 5, 8, 3, 6, 4, 20, 9, 1]",0.7765567765567766,0.949938949939
14,0.9047619047619048,0.5833333333333333,10,"[12, 8, 6, 10, 3, 4, 1, 5, 11, 15]",0.7619047619047619,0.949938949939
15,0.9285714285714286,0.625,9,"[8, 4, 9, 6, 7, 12, 10, 1, 3]",0.7527472527472527,0.949938949939
16,0.9194139194139194,0.6666666666666667,8,"[10, 8, 2, 3, 4, 11, 6, 5]",0.7783882783882784,0.949938949939
17,0.8992673992673993,0.7083333333333333,7,"[8, 6, 7, 9, 5, 3, 12]",0.7692307692307693,0.949938949939
18,0.8974358974358975,0.75,6,"[6, 11, 10, 3, 8, 2]",0.7454212454212454,0.949938949939
19,0.8626373626373627,0.7916666666666666,5,"[14, 4, 2, 10, 11]",0.8461538461538461,0.949938949939
20,0.8626373626373627,0.8333333333333334,4,"[14, 13, 0, 10]",0.8296703296703297,0.949938949939
21,0.8021978021978022,0.875,3,"[14, 2, 4]",0.7344322344322345,0.949938949939
22,0.7875457875457875,0.9166666666666666,2,"[14, 13]",0.7417582417582418,0.949938949939
23,0.6868131868131868,0.9583333333333334,1,[14],0.663003663003663,0.949938949939
